Page ID,Page name,Disclaimer,Amount spent (CHF)
103215392637344,Robin Kuhn,Robin Jonas Kuhn,153
285304141802550,FDP Niederhasli,FDP Niederhasli,153
107717738487757,Viviane Kägi GLP,Viviane Kägi,152
205884466254019,Alexandra Pfister in der Politik,Alexandra Pfister-Nevrala,152
111500797368,SP Bezirk Winterthur,SP Bezirk Winterthur,150
355257441326519,Fabian Müller,Fabian Francois Müller,147
651956578553145,"Marita Verbali, FDP",Marita Verbali,136
206817592664659,Junge Grünliberale Zürich - jglp ZH,Junge Grünliberale Zürich - jglp ZH,114
377292365618914,SVP Stadt Winterthur,SVP Winterthur,113
154212901272905,FDP.Die Liberalen Baselland,FDP.Die Liberalen Baselland,103
109425352024980,Sebastian Hektor Vogel am 12. Februar 2023 in den Kantonsrat,DarkHorse,101
190435673212,Grünliberale Kreis 4&5,GLP 4&5 – Grünliberale Partei,≤100
416870065122171,Jungfreisinnige Winterthur,Jungfreisinnige Winterthur,≤100
100345702834585,All Out Deutschland,All Out,≤100
102281186098428,Sara Sangiacomo,Rosaria Sangiacomo,≤100
113201865012168,Claudia Bodmer-Furrer,Claudia Bodmer-Furrer,≤100
212175019347952,SVP Horgen,SVP Horgen,≤100
125466200895962,Valentin Landmann,Sven Kunz,≤100
169042736456594,All Out,All Out,≤100
102014399307738,Direkt,direkt,≤100
580012422156679,Grüne Stadt Dübendorf,Grüne Stadt Dübendorf,≤100
102833318045836,Nick Glättli,Nick Didier Glättli,≤100
904812763060757,Michael De Vita-Läubli,Michael De Vita-Läubli,≤100
198432937394181,Philipp Müller in den Kantonsrat,Philipp Müller,≤100
110448418161537,FDP Hinwil,FDP Hinwil,≤100
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,≤100
100160498946252,Grüne Volketswil,Grüne Bezirk Uster,≤100
110838505070498,SVP Wädenswil,SVP Wädenswil,≤100
2525584750795209,Nina Fehr Düsel,Nina Fehr Düsel,≤100
689505424449213,Jungfreisinnige Limmattal,Jungfreisinnige Limmattal,≤100
743745965833626,Benjamin Stricker,Benjamin Stricker,≤100
100980232576650,Muriel Langenberger,Muriel Langenberger,≤100
101622582809771,lucaft,lucaft,≤100
260591187302640,Parti socialiste genevois,Parti socialiste genevois,≤100
1377010385681695,Dubravko Sinovcic,Dubravko Sinovcic,≤100
2011626645562796,Andri Silberschmidt,Komitee Andri Silberschmidt,≤100
100240749524401,Deborah Scharpf,Deborah Luzia Maryse Scharpf,≤100
101103429022118,Grüne Schlieren,Grüne Partei Schlieren,≤100
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,≤100
358536457645537,SVP Uster,Daniel Schnyder,≤100
1599925810096142,Kreis 6/10 mit glp in die Zukunft,Grünliberale Kreis 6 und 10,≤100
106020715591381,"Thomi Jourdan - Regierungsratskandidat Baselland - ""fürs Baselbiet vo morn""",Thomi Jourdan in den Regierungsrat,≤100
456093941086244,FDP.Die Liberalen Illnau-Effretikon,FDP. Die Liberalen Illnau-Effretikon,≤100
107494077464434,Janine Vannaz,Janine Vannaz,≤100
101417574776507,Ja zur direkten Demokratie,New Swiss Journal,≤100
101292009486072,Simon Affentranger GLP,Simon Johannes Affentranger Jäger,≤100
103369269163798,Mittendrin,Hanspeter Renggli,≤100
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,≤100
101791136062906,Notrechtsinitiative.ch,Notrechtsinitiative.ch,≤100
1462022710772147,Hans Egli,Hans Egli,≤100
561931677180050,Die Mitte Stadt Zürich,These ads ran without a disclaimer,≤100
707321076049640,Monika Keller,Monika Keller,≤100
730158247033526,Readly,These ads ran without a disclaimer,≤100
347162492139048,SP Töss,Matthias Jakob Ernst Erzinger,≤100
101759462695729,Seraina Billeter-Ihre Kandidatin,Seraina Sara Billeter,≤100
111873241774804,RJ Klimaneutral,"Junge Mitte, JGLP, JUSO - Rapperswil Jona",≤100
784812424962943,Tele Z,TELE Z,≤100
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,≤100
1578229959077185,"Matthias Bickel, in den Kantonsrat für die FDP.Die Liberalen","Matthias Bickel, in den Kantonsrat für die FDP.Die Liberalen",≤100
109023033782956,Unisanté,Unisanté,≤100
107376168891578,Curve prosper,These ads ran without a disclaimer,≤100
106591559016696,Guido Lehmann,Guido Lehmann,≤100
292711521138736,IPFO,International Photo Festival Olten,≤100
348751641846632,JUSO Zürich Oberland,JUSO Zürcher Oberland,≤100
92824188601,No Sleep Records,These ads ran without a disclaimer,≤100
100213996124067,Grünliberale Sektion Emmen-Hochdorf,Grünliberale Sektion Emmen-Hochdorf,≤100
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100
124924180944506,IHED-Islamischer Humanitärer Entwicklungsdienst,These ads ran without a disclaimer,≤100
111616771110534,Beyond Riches,These ads ran without a disclaimer,≤100
291359247729208,PS Suisse,PS Suisse,≤100
269029886456205,Giorgio Fonio,Giorgio Fonio,≤100
102720675292205,Thomas Schneider,Thomas Schneider,≤100
108843502117518,Andreas Baeckert,Andreas Peter Baeckert,≤100
107214605185781,nilsmatter.ch,These ads ran without a disclaimer,≤100
110834314440892,Saudi Green Initiative,These ads ran without a disclaimer,≤100
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100
329092184156849,Die Mitte Adliswil,Die Mitte Adliswil,≤100
