Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
175849189128043,"Andreas Seiler, FDP, Einwohnerrat Pratteln",Andreas Stefan Seiler,103,3
109425352024980,Sebastian Hektor Vogel am 12. Februar 2023 in den Kantonsrat,DarkHorse,101,9
190435673212,Grünliberale Kreis 4&5,GLP 4&5 – Grünliberale Partei,≤100,1
360151400680191,Die Mitte Stadt Luzern,Die Mitte Stadt Luzern,≤100,2
755554214495636,Parti Socialiste Neuchâtelois,Parti socialiste neuchâtelois,≤100,1
289772074451810,FDP.Die Liberalen Aargau,FDP.Die Liberalen Aargau,≤100,1
113273198762176,FDP.Die Liberalen Pratteln,FDP.Die Liberalen Pratteln,≤100,6
113201865012168,Claudia Bodmer-Furrer,Claudia Bodmer-Furrer,≤100,4
102833318045836,Nick Glättli,Nick Didier Glättli,≤100,3
100732476262537,GLP Willisau,GLP Wahlkreis Willisau,≤100,2
110838505070498,SVP Wädenswil,SVP Wädenswil,≤100,3
1521655228075451,solidaritéS Genève,solidaritéS Genève,≤100,4
92824188601,No Sleep Records,These ads ran without a disclaimer,≤100,8
580012422156679,Grüne Stadt Dübendorf,Grüne Stadt Dübendorf,≤100,2
102531252603779,Stephan Jung,Stephan Jung,≤100,1
110448418161537,FDP Hinwil,FDP Hinwil,≤100,1
904812763060757,Michael De Vita-Läubli,Michael De Vita-Läubli,≤100,1
101452637971744,Le Centre Lancy,Le Centre Lancy,≤100,3
689505424449213,Jungfreisinnige Limmattal,Jungfreisinnige Limmattal,≤100,2
100160498946252,Grüne Volketswil,Grüne Bezirk Uster,≤100,1
743745965833626,Benjamin Stricker,Benjamin Stricker,≤100,5
707321076049640,Monika Keller,Monika Keller,≤100,3
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,≤100,4
251838211585945,SP Basel-Stadt,SP Basel-Stadt,≤100,1
245489546137580,Christoph Riner - bodenständige Politik,Christoph Riner - bodenständige Politik,≤100,10
735945280122458,VCS Kanton Bern,VCS Sektion Bern,≤100,1
114998068149733,Dr. Stefan Meyer,Stefan Jörg Meyer,≤100,8
111616771110534,Beyond Riches,These ads ran without a disclaimer,≤100,1
102269201722239,TV Riviera 24,Tv Riviera 24,≤100,5
101791136062906,Notrechtsinitiative.ch,Notrechtsinitiative.ch,≤100,5
101622582809771,lucaft,lucaft,≤100,2
124924180944506,IHED-Islamischer Humanitärer Entwicklungsdienst,These ads ran without a disclaimer,≤100,1
2011626645562796,Andri Silberschmidt,Komitee Andri Silberschmidt,≤100,2
1377010385681695,Dubravko Sinovcic,Dubravko Sinovcic,≤100,1
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,≤100,2
347162492139048,SP Töss,Matthias Jakob Ernst Erzinger,≤100,1
1492503634364441,Liste d'Union Populaire,Ensemble à Gauche-Genève,≤100,2
101103429022118,Grüne Schlieren,Grüne Partei Schlieren,≤100,10
105382355680021,Unterwägs uf Lieschtel,Unterwägs uf Lieschtel,≤100,1
356407481399967,FDP.Die Liberalen Sissach und Umgebung,FDP Sissach und Umgebung,≤100,2
1462022710772147,Hans Egli,Hans Egli,≤100,3
108839758430779,Association des habitants du quartier de la Bourgogne,Association des habitants du quartier de Bourgogne,≤100,2
809697199378485,Sandra Cellarius,Sandra Alice Cellarius,≤100,8
142664095796912,GRÜNE Kanton Bern,GRÜNE Kanton Bern,≤100,1
265786100439644,Grüne Freie Liste Stadt Bern,Grüne Freie Liste Bern,≤100,1
106829796092871,Mieterinnen- & Mieterverband Kanton Bern,Mieterinnen- und Mieterverband Kanton Bern,≤100,1
456093941086244,FDP.Die Liberalen Illnau-Effretikon,FDP. Die Liberalen Illnau-Effretikon,≤100,2
113671758293671,JA zum Stadtparlament,Komitee JA zum Stadtparlament Rapperswil-Jona,≤100,6
100513788093677,Les Vert-e-s Ville de Genève,Les Vert-e-s Ville de Genève,≤100,6
110834314440892,Saudi Green Initiative,These ads ran without a disclaimer,≤100,2
101292009486072,Simon Affentranger GLP,Simon Johannes Affentranger Jäger,≤100,3
471258816239362,Junge SVP Luzern,Junge SVP Luzern,≤100,5
111873241774804,RJ Klimaneutral,"Junge Mitte, JGLP, JUSO - Rapperswil Jona",≤100,1
106563052005929,SVP Kreuzlingen,SVP Kreuzlingen,≤100,5
104265952574760,EVP Kreuzlingen,Adrian Robin Ziörjen,≤100,1
100420375365151,Pro Grolley,Pro Grolley,≤100,1
103234339054385,"Lea Van der Merwe, Einwohnerrätin Allschwil",FDP Allschwil-Schönenbuch,≤100,1
1537771523171079,Entremont Autrement,Entremont Autrement,≤100,1
101321992365876,Reto Brüesch,These ads ran without a disclaimer,≤100,2
114584561517154,Komitee für ein JA zum Basler Steuerpaket,Komitee JA! zum Basler Steuerpaket,≤100,4
109228305112523,"Damian Schaller, Landratskandidat FDP Allschwil",FDP Allschwil-Schönenbuch,≤100,1
110431218529702,Tassa di collegamento: perchè non abrogarla,These ads ran without a disclaimer,≤100,1
101759462695729,Seraina Billeter-Ihre Kandidatin,Seraina Sara Billeter,≤100,1
276547049113405,SP Schaffhausen,SP Schaffhausen,≤100,6
104484902120877,"Sebastian Hersberger, FDP Allschwil",FDP Allschwil-Schönenbuch,≤100,1
104937837702194,SP EVP GRÜNE für Gelterkinden,SP EVP GRÜNE für Gelterkinden,≤100,1
107911655043545,SVP Beromünster,SVP Beromünster,≤100,1
1544273692546271,waterdrop,These ads ran without a disclaimer,≤100,2
102720675292205,Thomas Schneider,Thomas Schneider,≤100,2
112316138411623,NEIN zum erneut missratenen Jagdgesetz,These ads ran without a disclaimer,≤100,1
589136377773631,Les Vert·e·x·s lgbtiq - Genève,Les Vert·e·x·s lgbtiq - Genève,≤100,1
329092184156849,Die Mitte Adliswil,Die Mitte Adliswil,≤100,1
105391775361272,"Nico Jonasch, Einwohnerrat Allschwil",FDP Allschwil-Schönenbuch,≤100,1
561931677180050,Die Mitte Stadt Zürich,These ads ran without a disclaimer,≤100,1
190133177759419,Giuseppe Cotti,Giuseppe Cotti,≤100,5
158820214312321,Citations Ron Hubbard,Mieux Vivre Sa Vie,≤100,3
104272338098687,"Robert Vogt, Gemeinderat Allschwil",FDP Allschwil-Schönenbuch,≤100,1
763722197034246,En Développement,These ads ran without a disclaimer,≤100,1
60588234229,Gioventù Comunista Svizzera,Gioventù Comunista Svizzera,≤100,4
123698491019029,Lombard Odier Group,These ads ran without a disclaimer,≤100,3
108595330730708,Groupe lgbtiq+ du PS genevois,Groupe lgbtiq+ du PS genevois,≤100,2
463645587339110,Piero Marchesi,Piero Marchesi,≤100,2
618765881570878,EKS,Elektrizitätswerk des Kantons Schaffhausen AG,≤100,1
264952450282664,JUSO Luzern,Jungsozialist*innen Luzern,≤100,1
1148594755342436,Saskia Schenker - Landrätin,FDP Sissach und Umgebung c/o Saskia Schenker,≤100,1
101122865395791,Matteo Buzzi,Matteo Buzzi,≤100,2
119392439892983,Sauvegarde Grand-Pré et Orangerie,Xavier Singy,≤100,2
1578229959077185,"Matthias Bickel, in den Kantonsrat für die FDP.Die Liberalen","Matthias Bickel, in den Kantonsrat für die FDP.Die Liberalen",≤100,1
353969997649,Partito Comunista - Svizzera,Partito Comunista,≤100,3
1613404075547204,Kathrin Schweizer,Komitee «Thomas Noack und Kathrin Schweizer in den Regierungsrat»,≤100,1
335404453537186,Die Mitte Binningen-Bottmingen,Die Mitte Binningen-Bottmingen,≤100,1
101469746117157,"Xavier Magnin, candidat au Conseil d'Etat 2023",Xavier Magnin,≤100,1
71049199915,Nebelspalter,These ads ran without a disclaimer,≤100,1
138345752891779,Grüne Liestal und Umgebung,These ads ran without a disclaimer,≤100,2
104943615835390,Patrik Schär,These ads ran without a disclaimer,≤100,1
348751641846632,JUSO Zürich Oberland,JUSO Zürcher Oberland,≤100,1
106591559016696,Guido Lehmann,Guido Lehmann,≤100,1
1100444546752110,Rémy Oudin,Rémy Oudin,≤100,2
113274870111292,Whippets de L'âme du Joran,These ads ran without a disclaimer,≤100,1
592045444309191,DIRECT NEWS by Michel Robadin,These ads ran without a disclaimer,≤100,1
100267076206781,Ensemble à Gauche solidaritéS-Parti du Travail-DAL,Ensemble à Gauche,≤100,2
196056317938049,Roger Martin - Stadtpräsident Romanshorn,Roger Martin,≤100,1
106940934479927,"Sibylle Fringeli, FDP Schönenbuch",FDP Allschwil-Schönenbuch,≤100,1
101120115685831,SVP Stäfa,Marco Andreas Vogt,≤100,1
746993385438167,UDC Lugano Città,UDC Lugano,≤100,1
167983071434,SP Kriens,SP Kriens,≤100,4
109082045416481,Marco Pellegrini,Attitude sagl - Sara Saggioro,≤100,1
106105549469184,Der ROTE Stuhl,SP Weinfelden,≤100,1
